Task:        font_detection
Classes:     ['Arial', 'Georgia', 'Lato', 'Merriweather', 'Montserrat', 'Nunito', 'Open Sans', 'Oswald', 'PT Sans', 'Playfair Display', 'Raleway', 'Roboto', 'Source Sans Pro', 'Times New Roman', 'Ubuntu']
Num classes: 15
Metric:      f1_macro
Time budget: 1200s

Device: cuda
Model params: 8.54M
Estimated total steps: 120000
Batch size:            64
Images per epoch:      29,952


step 00191 | loss: 2.5590 | lr: 3.84e-04 | imgs/s: 1,080 | remaining: 1188s    
step 00192 | loss: 2.5532 | lr: 3.86e-04 | imgs/s: 3,518 | remaining: 1188s    
step 00193 | loss: 2.5574 | lr: 3.88e-04 | imgs/s: 3,537 | remaining: 1188s    
step 00194 | loss: 2.5556 | lr: 3.90e-04 | imgs/s: 1,737 | remaining: 1188s    
step 00195 | loss: 2.5526 | lr: 3.92e-04 | imgs/s: 1,026 | remaining: 1188s    
step 00196 | loss: 2.5479 | lr: 3.94e-04 | imgs/s: 3,530 | remaining: 1188s    
step 00197 | loss: 2.5469 | lr: 3.96e-04 | imgs/s: 3,524 | remaining: 1188s    
step 00198 | loss: 2.5466 | lr: 3.98e-04 | imgs/s: 1,861 | remaining: 1188s    
step 00199 | loss: 2.5466 | lr: 4.00e-04 | imgs/s: 935 | remaining: 1188s    
step 00200 | loss: 2.5398 | lr: 4.00e-04 | imgs/s: 3,508 | remaining: 1188s    
step 00201 | loss: 2.5339 | lr: 4.00e-04 | imgs/s: 3,521 | remaining: 1188s    
step 00202 | loss: 2.5283 | lr: 4.00e-04 | imgs/s: 1,749 | remaining: 1188s    
step 00203 | loss: 2.5286 | lr: 4.00e-04 | imgs/s: 1,065 | remaining: 1188s    
step 00204 | loss: 2.5312 | lr: 4.00e-04 | imgs/s: 3,547 | remaining: 1188s    
step 00205 | loss: 2.5245 | lr: 4.00e-04 | imgs/s: 3,359 | remaining: 1188s    
step 00206 | loss: 2.5241 | lr: 4.00e-04 | imgs/s: 1,743 | remaining: 1187s    
step 00207 | loss: 2.5197 | lr: 4.00e-04 | imgs/s: 1,144 | remaining: 1187s    
step 00208 | loss: 2.5135 | lr: 4.00e-04 | imgs/s: 3,305 | remaining: 1187s    
step 00209 | loss: 2.5085 | lr: 4.00e-04 | imgs/s: 3,446 | remaining: 1187s    
step 00210 | loss: 2.5123 | lr: 4.00e-04 | imgs/s: 1,501 | remaining: 1187s    
step 00211 | loss: 2.5106 | lr: 4.00e-04 | imgs/s: 1,067 | remaining: 1187s    
step 00212 | loss: 2.5061 | lr: 4.00e-04 | imgs/s: 3,501 | remaining: 1187s    
step 00213 | loss: 2.5034 | lr: 4.00e-04 | imgs/s: 3,327 | remaining: 1187s    
step 00214 | loss: 2.5011 | lr: 4.00e-04 | imgs/s: 1,999 | remaining: 1187s    
step 00215 | loss: 2.4995 | lr: 4.00e-04 | imgs/s: 954 | remaining: 1187s    
step 00216 | loss: 2.4959 | lr: 4.00e-04 | imgs/s: 3,534 | remaining: 1187s    
step 00217 | loss: 2.4873 | lr: 4.00e-04 | imgs/s: 3,527 | remaining: 1187s    
step 00218 | loss: 2.4836 | lr: 4.00e-04 | imgs/s: 2,317 | remaining: 1187s    
step 00219 | loss: 2.4800 | lr: 4.00e-04 | imgs/s: 962 | remaining: 1187s    
step 00220 | loss: 2.4752 | lr: 4.00e-04 | imgs/s: 3,368 | remaining: 1187s    
step 00221 | loss: 2.4733 | lr: 4.00e-04 | imgs/s: 3,472 | remaining: 1187s    
step 00222 | loss: 2.4665 | lr: 4.00e-04 | imgs/s: 1,863 | remaining: 1187s    
step 00223 | loss: 2.4608 | lr: 4.00e-04 | imgs/s: 999 | remaining: 1187s    
step 00224 | loss: 2.4556 | lr: 4.00e-04 | imgs/s: 3,518 | remaining: 1187s    
step 00225 | loss: 2.4552 | lr: 4.00e-04 | imgs/s: 3,536 | remaining: 1187s    
step 00226 | loss: 2.4573 | lr: 4.00e-04 | imgs/s: 2,314 | remaining: 1187s    
step 00227 | loss: 2.4612 | lr: 4.00e-04 | imgs/s: 926 | remaining: 1187s    
step 00228 | loss: 2.4584 | lr: 4.00e-04 | imgs/s: 3,521 | remaining: 1187s    
step 00229 | loss: 2.4521 | lr: 4.00e-04 | imgs/s: 3,486 | remaining: 1187s    
step 00230 | loss: 2.4523 | lr: 4.00e-04 | imgs/s: 2,838 | remaining: 1187s    
step 00231 | loss: 2.4501 | lr: 4.00e-04 | imgs/s: 877 | remaining: 1187s    
step 00232 | loss: 2.4501 | lr: 4.00e-04 | imgs/s: 3,446 | remaining: 1187s    
step 00233 | loss: 2.4455 | lr: 4.00e-04 | imgs/s: 3,312 | remaining: 1187s    
step 00234 | loss: 2.4423 | lr: 4.00e-04 | imgs/s: 2,591 | remaining: 1187s    
step 00235 | loss: 2.4426 | lr: 4.00e-04 | imgs/s: 958 | remaining: 1186s    
step 00236 | loss: 2.4392 | lr: 4.00e-04 | imgs/s: 3,245 | remaining: 1186s    
step 00237 | loss: 2.4331 | lr: 4.00e-04 | imgs/s: 3,526 | remaining: 1186s    
step 00238 | loss: 2.4319 | lr: 4.00e-04 | imgs/s: 2,002 | remaining: 1186s    
step 00239 | loss: 2.4333 | lr: 4.00e-04 | imgs/s: 1,056 | remaining: 1186s    
step 00240 | loss: 2.4268 | lr: 4.00e-04 | imgs/s: 2,776 | remaining: 1186s    
step 00241 | loss: 2.4264 | lr: 4.00e-04 | imgs/s: 3,434 | remaining: 1186s    
step 00242 | loss: 2.4265 | lr: 4.00e-04 | imgs/s: 1,730 | remaining: 1186s    
step 00243 | loss: 2.4250 | lr: 4.00e-04 | imgs/s: 989 | remaining: 1186s    
step 00244 | loss: 2.4237 | lr: 4.00e-04 | imgs/s: 3,515 | remaining: 1186s    
step 00245 | loss: 2.4241 | lr: 4.00e-04 | imgs/s: 3,529 | remaining: 1186s    
step 00246 | loss: 2.4217 | lr: 4.00e-04 | imgs/s: 1,893 | remaining: 1186s    
step 00247 | loss: 2.4208 | lr: 4.00e-04 | imgs/s: 975 | remaining: 1186s    
step 00248 | loss: 2.4184 | lr: 4.00e-04 | imgs/s: 3,489 | remaining: 1186s    
